1,"•½¬12”N‘¨’²¸@¬’nˆæWŒv@i‘–±È“Œv‹Çj"
2,"‘æ1•\@’j—•ÊlŒû‹y‚Ñ¢‘Ñ”"
3,"","","","","","","","","","","",""
1316,"25201","055102190","1114.1.1","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",20,9,11,8
1317,"25201","055102200","1114.1.2","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",27,13,14,9
1318,"25201","055102210","1118.1.3","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",27,14,13,9
1319,"25201","055102220","1118.1.4","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",14,7,7,6
1320,"25201","055102230","1118.1.5","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",19,10,9,5
1321,"25201","055102240","1118.1.6","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",22,13,9,7
1322,"25201","055102250","1114.1.3","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",25,14,11,6
1323,"25201","055102260","1118.1.7","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",8,6,2,2
1324,"25201","055102270","1115.1.45","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",-,-,-,-
1325,"25201","055102280","1114.1.4","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",83,39,44,24
1326,"25201","055102290","1113.1.7","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",13,8,5,5
1327,"25201","055102300","1113.1.8","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",35,18,17,10
1328,"25201","055102310","1113.1.9","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",25,14,11,8
1329,"25201","055102320","1113.1.10","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",57,32,25,16
1330,"25201","055102330","1115.1.46","","","","‘å’ÃŽs","—Y‹Õ–k‚Q’š–Ú",34,18,16,15
1331,"25201","055201010","1103.1.1","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",10,6,4,5
1332,"25201","055201020","1103.1.2","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",11,4,7,4
1333,"25201","055201030","1098.1.1","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",22,12,10,6
1334,"25201","055201040","1103.1.3","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",76,32,44,21
1335,"25201","055201050","1103.1.4","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",17,9,8,4
1336,"25201","055201060","1098.1.2","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",-,-,-,-
1337,"25201","055201070","1098.1.3","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",-,-,-,-
1338,"25201","055201080","1098.1.4","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",24,10,14,17
1339,"25201","055201090","1098.1.5","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",-,-,-,-
1340,"25201","055201100","1098.1.6","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",75,37,38,21
1341,"25201","055201110","1098.1.7","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",1,-,1,1
1342,"25201","055201120","1098.1.8","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",10,3,7,5
1343,"25201","055201130","1098.1.9","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",2,1,1,1
1344,"25201","055201140","1099.1.1","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",63,25,38,28
1345,"25201","055201150","1099.1.2","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",61,22,39,28
1346,"25201","055201160","1099.1.3","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",16,6,10,5
1347,"25201","055201170","1099.1.4","","","","‘å’ÃŽs","—Y‹Õ‚P’š–Ú",15,6,9,5
1348,"25201","055202010","1111.1.1","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",39,20,19,13
1349,"25201","055202020","1111.1.2","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",26,13,13,8
1350,"25201","055202030","1111.1.3","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",37,21,16,9
1351,"25201","055202040","1109.1.1","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",18,11,7,5
1352,"25201","055202050","1109.1.2","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",57,31,26,14
1353,"25201","055202060","1109.1.3","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1354,"25201","055202070","1109.1.4","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",18,8,10,4
1355,"25201","055202080","1109.1.5","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",36,17,19,12
1356,"25201","055202090","1109.1.6","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",35,17,18,8
1357,"25201","055202100","1111.1.4","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",8,4,4,2
1358,"25201","055202110","1111.1.5","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",47,18,29,14
1359,"25201","055202120","1112.1.1","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",29,15,14,6
1360,"25201","055202130","1112.1.2","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",15,7,8,8
1361,"25201","055202140","1112.1.3","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",14,8,6,3
1362,"25201","055202150","1112.1.4","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",13,6,7,4
1363,"25201","055202160","1112.1.5","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1364,"25201","055202170","1112.1.6","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",5,2,3,2
1365,"25201","055202180","1112.1.7","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",54,28,26,16
1366,"25201","055202190","1112.1.8","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1367,"25201","055202200","1112.1.9","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1368,"25201","055202210","1112.1.10","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1369,"25201","055202220","1112.1.11","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1370,"25201","055202230","1111.1.6","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1371,"25201","055202240","1111.1.7","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1372,"25201","055202250","1109.1.7","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",3,1,2,1
1373,"25201","055202260","1109.1.8","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1374,"25201","055202270","1109.1.9","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1375,"25201","055202280","1112.1.12","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1376,"25201","055202290","1109.1.10","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1377,"25201","055202300","1109.1.11","","","","‘å’ÃŽs","—Y‹Õ‚Q’š–Ú",-,-,-,-
1378,"25201","055203010","1110.1.1","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",32,18,14,19
1379,"25201","055203020","1110.1.2","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",51,22,29,32
1380,"25201","055203030","2125.1.1","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",41,18,23,20
1381,"25201","055203040","2125.1.2","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",14,7,7,5
1382,"25201","055203050","2125.1.3","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",4,2,2,3
1383,"25201","055203060","2125.1.4","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",2,-,2,1
1384,"25201","055203070","1115.1.1","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1385,"25201","055203080","1115.1.2","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1386,"25201","055203090","1115.1.3","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1387,"25201","055203100","1115.1.4","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1388,"25201","055203110","1115.1.5","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1389,"25201","055203120","2125.1.5","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1390,"25201","055203130","2125.1.6","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",4,2,2,1
1391,"25201","055203140","2125.1.7","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1392,"25201","055203150","2125.1.8","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",36,16,20,13
1393,"25201","055203160","1116.1.1","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",35,17,18,11
1394,"25201","055203170","1116.1.2","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",19,10,9,6
1395,"25201","055203180","1116.1.3","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",48,26,22,11
1396,"25201","055203190","1116.1.4","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",26,11,15,7
1397,"25201","055203200","1116.1.5","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",21,9,12,5
1398,"25201","055203210","1115.1.6","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1399,"25201","055203220","1115.1.7","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1400,"25201","055203230","1115.1.8","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1401,"25201","055203240","1115.1.9","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1402,"25201","055203250","1115.1.10","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",15,7,8,5
1403,"25201","055203260","1115.1.11","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1404,"25201","055203270","1115.1.12","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",22,12,10,14
1405,"25201","055203280","1115.1.13","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1406,"25201","055203290","1115.1.14","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1407,"25201","055203300","1115.1.15","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1408,"25201","055203310","1115.1.16","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1409,"25201","055203320","1115.1.17","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",-,-,-,-
1410,"25201","055203330","1115.1.18","","","","‘å’ÃŽs","—Y‹Õ‚R’š–Ú",2,1,1,1
1411,"25201","055204010","1104.1.1","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1412,"25201","055204020","1104.1.2","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1413,"25201","055204030","1104.1.3","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1414,"25201","055204040","1104.1.4","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1415,"25201","055204050","1104.1.5","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1416,"25201","055204060","1104.1.6","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",7,4,3,2
1417,"25201","055204070","1104.1.7","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1418,"25201","055204080","1104.1.8","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1419,"25201","055204090","1104.1.9","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1420,"25201","055204100","1104.1.10","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1421,"25201","055204110","1104.1.11","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1422,"25201","055204120","1104.1.12","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1423,"25201","055204130","1104.1.13","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1424,"25201","055204140","1104.1.14","","","","‘å’ÃŽs","—Y‹Õ‚S’š–Ú",-,-,-,-
1425,"25201","055205010","1104.1.15","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",30,16,14,23
1426,"25201","055205020","1104.1.16","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",9,6,3,8
1427,"25201","055205030","1104.1.17","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1428,"25201","055205040","1104.1.18","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1429,"25201","055205050","1104.1.19","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1430,"25201","055205060","1104.1.20","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1431,"25201","055205070","1108.1.1","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",86,40,46,26
1432,"25201","055205080","1108.1.2","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1433,"25201","055205090","1108.1.3","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1434,"25201","055205100","1108.1.4","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",12,7,5,5
1435,"25201","055205110","1108.1.5","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",19,10,9,7
1436,"25201","055205120","1108.1.6","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1437,"25201","055205130","1104.1.21","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1438,"25201","055205140","1105.1.","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",204,101,103,65
1439,"25201","055205150","1107.1.","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",160,83,77,47
1440,"25201","055205160","1106.1.","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",195,97,98,61
1441,"25201","055205170","1108.1.7","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1442,"25201","055205180","1108.1.8","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1443,"25201","055205190","1104.1.22","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1444,"25201","055205200","1104.1.23","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1445,"25201","055205210","1104.1.24","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1446,"25201","055205220","1104.1.25","","","","‘å’ÃŽs","—Y‹Õ‚T’š–Ú",-,-,-,-
1447,"25201","055206010","1103.1.5","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",22,12,10,7
1448,"25201","055206020","1100.1.1","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",14,9,5,9
1449,"25201","055206030","1100.1.2","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",31,15,16,17
1450,"25201","055206030","1102.8.","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",84,37,47,59
1451,"25201","055206040","1100.1.3","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1452,"25201","055206050","1100.1.4","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1453,"25201","055206060","1100.1.5","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1454,"25201","055206070","1100.1.6","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1455,"25201","055206080","1100.1.7","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1456,"25201","055206090","1100.1.8","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",22,8,14,12
1457,"25201","055206100","1100.1.9","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",6,3,3,3
1458,"25201","055206110","1100.1.10","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",12,7,5,4
1459,"25201","055206120","1100.1.11","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",7,5,2,1
1460,"25201","055206130","1104.1.26","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1461,"25201","055206140","1104.1.27","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",7,3,4,2
1462,"25201","055206150","1104.1.28","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",26,11,15,7
1463,"25201","055206160","1100.1.12","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1464,"25201","055206170","1100.1.13","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1465,"25201","055206170","1101.4.","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",275,77,198,55
1466,"25201","055206180","1100.1.14","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1467,"25201","055206190","1100.1.15","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1468,"25201","055206200","1100.1.16","","","","‘å’ÃŽs","—Y‹Õ‚U’š–Ú",-,-,-,-
1469,"25201","061001010","1083.1.1","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",16,11,5,10
1470,"25201","061001020","1083.1.2","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",-,-,-,-
1471,"25201","061001030","1083.1.3","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",14,8,6,5
1472,"25201","061001040","1083.1.4","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",15,8,7,4
1473,"25201","061001050","1083.1.5","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",32,16,16,7
1474,"25201","061001060","1084.1.1","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",37,20,17,8
1475,"25201","061001070","1084.1.2","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",44,21,23,10
1476,"25201","061001080","1084.1.3","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",26,13,13,6
1477,"25201","061001090","1084.1.4","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",26,13,13,6
1478,"25201","061001100","1084.1.5","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",2,1,1,1
1479,"25201","061001110","1084.1.6","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",1,1,-,1
1480,"25201","061001120","1083.1.6","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",23,10,13,5
1481,"25201","061001130","1083.1.7","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",22,11,11,4
1482,"25201","061001140","1083.1.8","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",7,4,3,3
1483,"25201","061001150","1083.1.9","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",56,30,26,14
1484,"25201","061001160","1083.1.10","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",18,10,8,4
1485,"25201","061001170","1083.1.11","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",4,2,2,1
1486,"25201","061001180","1083.1.12","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",-,-,-,-
1487,"25201","061001990","1082.2.","","","","‘å’ÃŽs","ç–ì‚P’š–Ú",-,-,-,-
1488,"25201","061002010","1084.1.7","","","","‘å’ÃŽs","ç–ì‚Q’š–Ú",-,-,-,-
1489,"25201","061002020","1084.1.8","","","","‘å’ÃŽs","ç–ì‚Q’š–Ú",25,14,11,6
1490,"25201","061002030","1084.1.9","","","","‘å’ÃŽs","ç–ì‚Q’š–Ú",4,2,2,2
1491,"25201","061002040","1084.1.10","","","","‘å’ÃŽs","ç–ì‚Q’š–Ú",9,5,4,3
1492,"25201","061002050","1084.1.11","","","","‘å’ÃŽs","ç–ì‚Q’š–Ú",2,1,1,1
1493,"25201","061002060","1084.1.12","","","","‘å’ÃŽs","ç–ì‚Q’š–Ú",37,20,17,9
1494,"25201","061002070","1084.1.13","","","","‘å’ÃŽs","ç–ì‚Q’š–Ú",13,7,6,3
1495,"25201","061002080","1084.1.14","","","","‘å’ÃŽs","ç–ì‚Q’š–Ú",5,3,2,3
1496,"25201","061002990","1084.1.15","","","","‘å’ÃŽs","ç–ì‚Q’š–Ú",-,-,-,-
1497,"25201","061003010","1050.1.1","","","","‘å’ÃŽs","ç–ì‚R’š–Ú",11,5,6,3
1498,"25201","061003020","1050.1.2","","","","‘å’ÃŽs","ç–ì‚R’š–Ú",9,5,4,3
1499,"25201","061003030","1050.1.3","","","","‘å’ÃŽs","ç–ì‚R’š–Ú",11,4,7,2
1500,"25201","061003040","1050.1.4","","","","‘å’ÃŽs","ç–ì‚R’š–Ú",11,5,6,3
1501,"25201","061003050","1050.1.5","","","","‘å’ÃŽs","ç–ì‚R’š–Ú",-,-,-,-
1502,"25201","061003060","1050.1.6","","","","‘å’ÃŽs","ç–ì‚R’š–Ú",7,4,3,2
1503,"25201","061003070","1050.1.7","","","","‘å’ÃŽs","ç–ì‚R’š–Ú",23,11,12,7
1504,"25201","064001010","1097.1.1","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",-,-,-,-
1505,"25201","064001020","1097.1.2","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",8,3,5,3
1506,"25201","064001030","1096.1.1","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",26,14,12,14
1507,"25201","064001040","1096.1.2","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",-,-,-,-
1508,"25201","064001050","1096.1.3","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",25,10,15,6
1509,"25201","064001060","1096.1.4","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",21,11,10,9
1510,"25201","064001070","1096.1.5","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",29,15,14,8
1511,"25201","064001080","1096.1.6","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",4,2,2,1
1512,"25201","064001090","1094.1.1","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",15,8,7,4
1513,"25201","064001100","1097.1.3","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",51,29,22,20
1514,"25201","064001110","1097.1.4","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",16,9,7,10
1515,"25201","064001120","1097.1.5","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",4,3,1,1
1516,"25201","064001130","1097.1.6","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",7,4,3,2
1517,"25201","064001140","1097.1.7","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",-,-,-,-
1518,"25201","064001150","1097.1.8","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",-,-,-,-
1519,"25201","064001160","1097.1.9","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",-,-,-,-
1520,"25201","064001170","1097.1.10","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",3,2,1,1
1521,"25201","064001180","1097.1.11","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",-,-,-,-
1522,"25201","064001190","1097.1.12","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",-,-,-,-
1523,"25201","064001200","1097.1.13","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",-,-,-,-
1524,"25201","064001210","1097.1.14","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",2,1,1,1
1525,"25201","064001220","1094.1.2","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",-,-,-,-
1526,"25201","064001230","1094.1.3","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",5,3,2,1
1527,"25201","064001240","1094.1.4","","","","‘å’ÃŽs","•cŽ­‚P’š–Ú",6,4,2,1
1528,"25201","064002010","1094.1.5","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",23,12,11,5
1529,"25201","064002020","1094.1.6","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",9,4,5,3
1530,"25201","064002030","1094.1.7","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",38,20,18,7
1531,"25201","064002040","1094.1.8","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",-,-,-,-
1532,"25201","064002050","1094.1.9","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",-,-,-,-
1533,"25201","064002060","1094.1.10","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",-,-,-,-
1534,"25201","064002070","1094.1.11","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",12,7,5,4
1535,"25201","064002080","1094.1.12","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",22,10,12,5
1536,"25201","064002090","1094.1.13","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",40,19,21,7
1537,"25201","064002100","1091.1.1","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",40,19,21,10
1538,"25201","064002110","1091.1.2","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",8,5,3,3
1539,"25201","064002120","1092.1.1","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",16,9,7,6
1540,"25201","064002130","1092.1.2","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",51,26,25,16
1541,"25201","064002140","1092.1.3","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",43,23,20,14
1542,"25201","064002150","1092.1.4","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",12,8,4,3
1543,"25201","064002160","1093.1.1","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",50,25,25,16
1544,"25201","064002170","1093.1.2","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",38,18,20,13
1545,"25201","064002180","1093.1.3","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",28,13,15,10
1546,"25201","064002190","1093.1.4","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",30,15,15,10
1547,"25201","064002200","1093.1.5","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",12,5,7,4
1548,"25201","064002210","1085.1.1","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",4,3,1,1
1549,"25201","064002220","1085.1.2","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",3,1,2,1
1550,"25201","064002230","1085.1.3","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",39,18,21,12
1551,"25201","064002240","1085.1.4","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",32,15,17,11
1552,"25201","064002250","1085.1.5","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",23,11,12,10
1553,"25201","064002260","1085.1.6","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",30,13,17,10
1554,"25201","064002270","1085.1.7","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",14,7,7,5
1555,"25201","064002280","1086.1.1","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",53,27,26,18
1556,"25201","064002290","1086.1.2","","","","‘å’ÃŽs","•cŽ­‚Q’š–Ú",93,37,56,31
