1,"•½¬17”N‘¨’²¸@¬’nˆæWŒv@i‘–±È“Œv‹Çj"
2,"‘æ1•\@’j—•ÊlŒû‹y‚Ñ¢‘Ñ”"
3,"","","","","","","","","","","",""
1006,"25201","051002100","1294.1.4","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",71,37,34,32
1007,"25201","051002110","1291.1.","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",106,52,54,52
1008,"25201","051002120","1289.1.3","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",32,19,13,15
1009,"25201","051002130","1289.1.4","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",-,-,-,-
1010,"25201","051002140","1290.1.","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",93,44,49,38
1011,"25201","051002140","2261.1.","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",129,60,69,44
1012,"25201","051002150","1289.1.5","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",1,1,-,1
1013,"25201","051002160","1289.1.6","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",27,18,9,15
1014,"25201","051002170","1277.1.4","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",13,5,8,4
1015,"25201","051002180","1277.1.5","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",61,25,36,46
1016,"25201","051002190","1277.1.6","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",28,13,15,7
1017,"25201","051002200","1277.1.7","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",-,-,-,-
1018,"25201","051002210","1277.1.8","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",-,-,-,-
1019,"25201","051002220","1288.1.","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",144,74,70,45
1020,"25201","051002230","1287.1.1","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",56,29,27,24
1021,"25201","051002240","1287.1.2","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",74,42,32,36
1022,"25201","051002250","1285.1.1","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",122,63,59,34
1023,"25201","051002250","2260.1.","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",56,30,26,32
1024,"25201","051002260","1286.1.","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",93,50,43,52
1025,"25201","051002270","1285.1.2","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",69,33,36,22
1026,"25201","051002280","1284.1.","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",144,73,71,51
1027,"25201","051002290","1283.1.","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",209,105,104,66
1028,"25201","051002300","1279.1.1","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",81,45,36,23
1029,"25201","051002310","1279.1.2","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",84,40,44,33
1030,"25201","051002320","1280.1.9","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",37,20,17,14
1031,"25201","051002330","1279.1.3","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",38,20,18,16
1032,"25201","051002340","1279.1.4","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",17,8,9,7
1033,"25201","051002350","1278.1.1","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",83,43,40,27
1034,"25201","051002360","1278.1.2","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",85,40,45,37
1035,"25201","051002370","1278.1.3","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",22,9,13,12
1036,"25201","051002380","1277.1.9","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",43,24,19,22
1037,"25201","051002390","1277.1.10","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",-,-,-,-
1038,"25201","051002400","1277.1.11","","","","‘å’ÃŽs","¡Œ˜“c‚Q’š–Ú",-,-,-,-
1039,"25201","051003010","1297.1.1","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1040,"25201","051003020","1297.1.2","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1041,"25201","051003030","1297.1.3","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",36,18,18,12
1042,"25201","051003040","1297.1.4","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",11,4,7,4
1043,"25201","051003050","1297.1.5","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1044,"25201","051003060","1297.1.6","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1045,"25201","051003070","1297.1.7","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1046,"25201","051003080","1297.1.8","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1047,"25201","051003090","1297.1.9","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1048,"25201","051003100","1297.1.10","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1049,"25201","051003110","1297.1.11","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1050,"25201","051003120","1297.1.12","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",36,18,18,13
1051,"25201","051003120","1298.1.","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",158,83,75,49
1052,"25201","051003120","1299.1.","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",113,56,57,39
1053,"25201","051003120","1300.1.","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",92,47,45,33
1054,"25201","051003130","1297.1.13","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1055,"25201","051003140","1297.1.14","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1056,"25201","051003150","1297.1.15","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1057,"25201","051003160","1297.1.16","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1058,"25201","051003170","1297.1.17","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",22,14,8,20
1059,"25201","051003180","1297.1.18","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",53,25,28,15
1060,"25201","051003190","1301.1.1","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1061,"25201","051003200","1301.1.2","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",4,2,2,1
1062,"25201","051003210","1301.1.3","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",9,5,4,4
1063,"25201","051003220","1301.1.4","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",24,12,12,10
1064,"25201","051003230","1301.1.5","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",-,-,-,-
1065,"25201","051003240","1301.1.6","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",20,10,10,4
1066,"25201","051003250","1301.1.7","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",29,12,17,9
1067,"25201","051003260","1301.1.8","","","","‘å’ÃŽs","¡Œ˜“c‚R’š–Ú",66,31,35,25
1068,"25201","054100010","1130.2.3","","","","‘å’ÃŽs","‹Â–Ø’¬",-,-,-,-
1069,"25201","054201010","1174.1.1","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1070,"25201","054201020","1174.1.2","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1071,"25201","054201030","1174.1.3","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1072,"25201","054201040","1174.1.4","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1073,"25201","054201050","1174.1.5","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1074,"25201","054201060","1174.1.6","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1075,"25201","054201070","1174.1.7","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1076,"25201","054201080","1174.1.8","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1077,"25201","054201090","1174.1.9","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1078,"25201","054201100","1174.1.10","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1079,"25201","054201110","1174.1.11","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1080,"25201","054201990","1130.2.1","","","","‘å’ÃŽs","‹Â–Ø‚P’š–Ú",-,-,-,-
1081,"25201","054202010","1174.1.12","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",34,17,17,10
1082,"25201","054202020","1174.1.13","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",25,12,13,8
1083,"25201","054202030","1174.1.14","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",34,16,18,11
1084,"25201","054202040","1172.1.1","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",42,15,27,11
1085,"25201","054202050","1174.1.15","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",56,26,30,16
1086,"25201","054202060","1172.1.2","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",37,18,19,11
1087,"25201","054202070","1172.1.3","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",52,22,30,12
1088,"25201","054202080","1172.1.4","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",31,16,15,8
1089,"25201","054202090","1172.1.5","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",7,5,2,2
1090,"25201","054202100","1176.1.1","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",33,15,18,7
1091,"25201","054202110","1176.1.2","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",106,48,58,29
1092,"25201","054202120","1177.1.1","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",96,43,53,21
1093,"25201","054202130","1178.1.1","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",37,21,16,11
1094,"25201","054202140","1178.1.2","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",18,10,8,6
1095,"25201","054202150","1178.1.3","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",7,3,4,2
1096,"25201","054202160","1178.1.4","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",68,33,35,14
1097,"25201","054202170","2249.1.1","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",45,21,24,13
1098,"25201","054202180","1177.1.2","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",58,27,31,14
1099,"25201","054202190","2249.1.2","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",61,28,33,17
1100,"25201","054202200","1175.1.1","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",53,29,24,14
1101,"25201","054202210","1176.1.3","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",15,8,7,4
1102,"25201","054202220","1176.1.4","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",7,3,4,2
1103,"25201","054202230","1175.1.2","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",16,5,11,6
1104,"25201","054202240","1175.1.3","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",20,11,9,8
1105,"25201","054202250","1175.1.4","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",16,9,7,4
1106,"25201","054202260","1175.1.5","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1107,"25201","054202270","1176.1.5","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1108,"25201","054202280","1175.1.6","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",11,7,4,4
1109,"25201","054202290","1175.1.7","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",5,2,3,1
1110,"25201","054202300","1175.1.8","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1111,"25201","054202310","1175.1.9","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1112,"25201","054202320","1175.1.10","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1113,"25201","054202330","1175.1.11","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",13,6,7,3
1114,"25201","054202340","1175.1.12","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",6,3,3,3
1115,"25201","054202350","2249.1.3","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",7,3,4,2
1116,"25201","054202360","2249.1.4","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",19,9,10,4
1117,"25201","054202370","2249.1.5","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",6,2,4,1
1118,"25201","054202380","2249.1.6","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1119,"25201","054202390","1174.1.16","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1120,"25201","054202400","1174.1.17","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1121,"25201","054202410","2249.1.7","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1122,"25201","054202980","1130.2.2","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1123,"25201","054202990","1175.1.13","","","","‘å’ÃŽs","‹Â–Ø‚Q’š–Ú",-,-,-,-
1124,"25201","054203010","1174.1.18","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",15,7,8,4
1125,"25201","054203020","1174.1.19","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",20,10,10,4
1126,"25201","054203030","1173.1.1","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1127,"25201","054203040","1173.1.2","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",22,11,11,5
1128,"25201","054203050","1173.1.3","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",17,8,9,6
1129,"25201","054203060","1173.1.4","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",21,8,13,3
1130,"25201","054203070","1173.1.5","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",48,21,27,13
1131,"25201","054203080","1173.1.6","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",16,8,8,3
1132,"25201","054203090","1173.1.7","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",12,6,6,5
1133,"25201","054203100","1173.1.8","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",15,10,5,5
1134,"25201","054203110","1173.1.9","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",9,4,5,2
1135,"25201","054203120","1173.1.10","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1136,"25201","054203130","1173.1.11","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",4,2,2,1
1137,"25201","054203140","1173.1.12","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1138,"25201","054203150","1173.1.13","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1139,"25201","054203160","1173.1.14","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1140,"25201","054203170","1173.1.15","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1141,"25201","054203180","1173.1.16","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1142,"25201","054203190","1173.1.17","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1143,"25201","054203200","1173.1.18","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1144,"25201","054203210","1173.1.19","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1145,"25201","054203220","1173.1.20","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1146,"25201","054203230","1173.1.21","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1147,"25201","054203240","1173.1.22","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1148,"25201","054203250","1173.1.23","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1149,"25201","054203260","1173.1.24","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1150,"25201","054203270","1173.1.25","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1151,"25201","054203280","1173.1.26","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1152,"25201","054203290","1173.1.27","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1153,"25201","054203300","1173.1.28","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1154,"25201","054203310","1173.1.29","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1155,"25201","054203320","1173.1.30","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1156,"25201","054203330","1173.1.31","","","","‘å’ÃŽs","‹Â–Ø‚R’š–Ú",-,-,-,-
1157,"25201","054204010","1179.1.1","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",10,6,4,3
1158,"25201","054204020","2250.1.1","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",5,3,2,2
1159,"25201","054204030","2250.1.2","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1160,"25201","054204040","2250.1.3","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1161,"25201","054204050","2250.1.4","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1162,"25201","054204060","2250.1.5","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",9,5,4,2
1163,"25201","054204070","2250.1.6","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",13,7,6,4
1164,"25201","054204080","2250.1.7","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",26,14,12,9
1165,"25201","054204090","2250.1.8","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1166,"25201","054204100","2250.1.9","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1167,"25201","054204110","2250.1.10","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",4,3,1,1
1168,"25201","054204120","2250.1.11","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",17,6,11,5
1169,"25201","054204130","1179.1.2","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",11,5,6,3
1170,"25201","054204140","1179.1.3","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",42,24,18,10
1171,"25201","054204150","1179.1.4","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",7,4,3,1
1172,"25201","054204160","1179.1.5","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",22,13,9,7
1173,"25201","054204170","1180.1.1","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",21,9,12,7
1174,"25201","054204180","1180.1.2","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",30,16,14,10
1175,"25201","054204190","1180.1.3","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",40,17,23,12
1176,"25201","054204200","1180.1.4","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",43,21,22,12
1177,"25201","054204210","1179.1.6","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",50,22,28,11
1178,"25201","054204220","1179.1.7","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",7,3,4,2
1179,"25201","054204230","2250.1.12","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",33,14,19,9
1180,"25201","054204240","1179.1.8","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",3,1,2,1
1181,"25201","054204250","1179.1.9","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1182,"25201","054204260","1179.1.10","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1183,"25201","054204270","1179.1.11","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1184,"25201","054204280","1179.1.12","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1185,"25201","054204290","1179.1.13","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1186,"25201","054204300","1179.1.14","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1187,"25201","054204310","2250.1.19","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1188,"25201","054204320","2250.1.20","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1189,"25201","054204330","2250.1.13","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1190,"25201","054204340","2250.1.14","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1191,"25201","054204350","2250.1.15","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",-,-,-,-
1192,"25201","054204360","2250.1.16","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",3,2,1,3
1193,"25201","054204370","2250.1.17","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",5,2,3,1
1194,"25201","054204380","2250.1.18","","","","‘å’ÃŽs","‹Â–Ø‚S’š–Ú",2,1,1,1
1195,"25201","054205010","1181.1.1","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",30,15,15,10
1196,"25201","054205020","1181.1.2","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",47,23,24,11
1197,"25201","054205030","1181.1.3","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",17,9,8,5
1198,"25201","054205040","1181.1.4","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1199,"25201","054205050","1181.1.5","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1200,"25201","054205060","1181.1.6","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",16,6,10,4
1201,"25201","054205070","1181.1.7","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",53,27,26,12
1202,"25201","054205080","1181.1.8","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",26,13,13,6
1203,"25201","054205090","1181.1.9","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1204,"25201","054205100","1181.1.10","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1205,"25201","054205110","1181.1.11","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",10,5,5,3
1206,"25201","054205120","1181.1.12","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",13,4,9,5
1207,"25201","054205130","1182.1.1","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",40,18,22,10
1208,"25201","054205140","1182.1.2","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",43,17,26,12
1209,"25201","054205150","1182.1.3","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",36,17,19,10
1210,"25201","054205160","1182.1.4","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",15,6,9,4
1211,"25201","054205170","1182.1.5","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1212,"25201","054205180","1182.1.6","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1213,"25201","054205190","1181.1.13","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1214,"25201","054205200","1181.1.14","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1215,"25201","054205210","1181.1.15","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1216,"25201","054205220","1181.1.16","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1217,"25201","054205230","1181.1.17","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1218,"25201","054205240","1181.1.18","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",9,4,5,2
1219,"25201","054205250","1181.1.19","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1220,"25201","054205260","1181.1.20","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1221,"25201","054205270","1181.1.21","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1222,"25201","054205280","1181.1.22","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1223,"25201","054205290","1181.1.23","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1224,"25201","054205300","1181.1.24","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1225,"25201","054205310","1181.1.25","","","","‘å’ÃŽs","‹Â–Ø‚T’š–Ú",-,-,-,-
1226,"25201","054206010","1183.1.1","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",14,7,7,6
1227,"25201","054206020","1183.1.2","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",-,-,-,-
1228,"25201","054206030","1183.1.3","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",2,1,1,1
1229,"25201","054206040","1183.1.4","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",-,-,-,-
1230,"25201","054206050","1183.1.5","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",-,-,-,-
1231,"25201","054206060","1183.1.6","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",6,3,3,2
1232,"25201","054206070","1183.1.7","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",14,8,6,4
1233,"25201","054206080","1183.1.8","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",39,18,21,12
1234,"25201","054206090","1183.1.9","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",14,8,6,7
1235,"25201","054206100","1183.1.10","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",14,7,7,5
1236,"25201","054206110","1184.1.1","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",24,11,13,9
1237,"25201","054206120","1184.1.2","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",6,4,2,1
1238,"25201","054206130","1184.1.3","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",9,3,6,2
1239,"25201","054206140","1184.1.4","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",16,7,9,5
1240,"25201","054206150","1184.1.5","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",14,5,9,5
1241,"25201","054206160","1184.1.6","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",4,2,2,1
1242,"25201","054206170","1184.1.7","","","","‘å’ÃŽs","‹Â–Ø‚U’š–Ú",19,7,12,5
