1,•½¬27”N‘¨’²¸@¬’nˆæWŒv@i‘–±È“Œv‹Çj,,,,,,,,,,,
2,‘æ1•\@’j—•ÊlŒû‹y‚Ñ¢‘Ñ”  |Šî–{’PˆÊ‹æ@,,,,,,,,,,,
3,,,,,,,,,,,,
4,Žs‹æ’¬‘ºƒR[ƒh,Šî–{’PˆÊ‹æ”Ô†,’²¸‹æ”Ô†,“s“¹•{Œ§–¼,Žs‹æ’¬‘º–¼,‘åŽšE’¬–¼,ŽšE’š–Ú–¼,lŒûW’†’n‹æ•„†,‘”i’j—•Êj,’j,—,¢‘Ñ”
3515,"25201","142000110"," 234.1. 2","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","",15,7,8,7
3516,"25201","142000120"," 234.1. 3","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",87,50,37,49
3517,"25201","142000130"," 234.1. 4","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","",-,-,-,-
3518,"25201","142000140"," 242.1.  ","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",91,51,40,42
3519,"25201","142000150"," 235.1. 1","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",102,54,48,40
3520,"25201","142000160"," 243.1. 1","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","",67,34,33,31
3521,"25201","142000170"," 235.1. 2","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","",-,-,-,-
3522,"25201","142000180"," 235.1. 3","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",14,7,7,4
3523,"25201","142000190"," 257.1. 1","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",14,5,9,8
3524,"25201","142000200"," 257.1. 2","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",30,16,14,12
3525,"25201","142000210"," 257.1. 3","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",29,12,17,11
3526,"25201","142000220"," 257.1. 4","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",60,27,33,26
3527,"25201","142000230"," 280.1.  ","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",41,23,18,40
3528,"25201","142000240"," 236.1. 2","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","",6,3,3,3
3529,"25201","142000250"," 236.1. 3","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","",16,7,9,5
3530,"25201","142000260"," 236.1. 4","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",37,17,20,26
3531,"25201","142000270"," 236.1. 1","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",26,13,13,12
3532,"25201","142000280"," 237.1. 2","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",48,25,23,22
3533,"25201","142000290"," 237.1. 3","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",52,27,25,22
3534,"25201","142000300"," 237.1. 1","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","52",18,7,11,7
3535,"25201","142000990"," 231.2. 3","Ž ‰êŒ§","‘å’ÃŽs","“¡”ö‰œ’¬","","",-,-,-,-
3536,"25201","143000010"," 231.2. 4","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","",-,-,-,-
3537,"25201","143000020"," 270.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","",-,-,-,-
3538,"25201","143000030"," 273.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",49,25,24,20
3539,"25201","143000040"," 273.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",53,26,27,25
3540,"25201","143000050"," 272.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",52,24,28,19
3541,"25201","143000060"," 272.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",58,29,29,24
3542,"25201","143000070"," 271.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",67,30,37,22
3543,"25201","143000080"," 271.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",52,25,27,20
3544,"25201","143000090"," 270.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",42,20,22,19
3545,"25201","143000100"," 270.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",35,20,15,16
3546,"25201","143000110"," 270.1. 4","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",38,17,21,16
3547,"25201","143000120"," 269.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",65,33,32,20
3548,"25201","143000130"," 269.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",53,26,27,22
3549,"25201","143000140"," 261.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",49,20,29,17
3550,"25201","143000150"," 261.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",24,11,13,15
3551,"25201","143000160"," 261.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",12,5,7,5
3552,"25201","143000170"," 241.1. 4","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",25,12,13,8
3553,"25201","143000180"," 238.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","",-,-,-,-
3554,"25201","143000190"," 241.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",30,14,16,8
3555,"25201","143000200"," 241.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",24,13,11,11
3556,"25201","143000210"," 241.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",36,16,20,13
3557,"25201","143000220"," 238.1. 4","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",19,9,10,8
3558,"25201","143000230"," 238.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",18,7,11,9
3559,"25201","143000240"," 238.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","",7,5,2,2
3560,"25201","143000250"," 239.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",37,18,19,17
3561,"25201","143000260"," 239.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",46,20,26,19
3562,"25201","143000270"," 239.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",43,20,23,16
3563,"25201","143000280"," 238.1. 5","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",14,8,6,6
3564,"25201","143000290"," 238.1. 6","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",20,12,8,8
3565,"25201","143000300"," 238.1. 7","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",22,11,11,8
3566,"25201","143000310"," 240.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",17,8,9,8
3567,"25201","143000320"," 240.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",37,18,19,16
3568,"25201","143000330"," 240.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ˆî—t‘ä","","52",21,8,13,13
3569,"25201","144000010"," 243.1. 2","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",7,3,4,2
3570,"25201","144000020"," 243.1. 3","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",13,7,6,7
3571,"25201","144000030"," 243.1. 4","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",11,7,4,5
3572,"25201","144000030"," 244.1.  ","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",105,45,60,42
3573,"25201","144000030"," 245.1.  ","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",95,46,49,40
3574,"25201","144000040"," 268.1. 4","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",25,14,11,9
3575,"25201","144000050"," 268.1. 3","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",31,16,15,12
3576,"25201","144000060"," 268.1. 2","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",32,14,18,13
3577,"25201","144000070"," 268.1. 1","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",39,17,22,17
3578,"25201","144000080"," 260.1. 2","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",36,19,17,15
3579,"25201","144000090"," 260.1. 1","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",8,6,2,3
3580,"25201","144000100"," 260.1. 4","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",-,-,-,-
3581,"25201","144000110"," 260.1. 3","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",47,24,23,17
3582,"25201","144000120"," 260.1. 5","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",28,13,15,9
3583,"25201","144000130"," 259.1. 2","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",26,11,15,12
3584,"25201","144000140"," 259.1. 1","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",53,27,26,20
3585,"25201","144000150"," 258.1. 1","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",19,9,10,7
3586,"25201","144000160"," 258.1. 2","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",32,15,17,16
3587,"25201","144000170"," 258.1. 3","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",55,27,28,23
3588,"25201","144000180"," 256.1. 1","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",92,42,50,35
3589,"25201","144000190"," 256.1. 2","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",-,-,-,-
3590,"25201","144000200"," 255.1. 3","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",79,39,40,25
3591,"25201","144000210"," 283.1. 4","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",26,12,14,7
3592,"25201","144000220"," 255.1. 1","Ž ‰êŒ§","‘å’ÃŽs","’ƒŒË’¬","","52",-,-,-,-
3593,"25201","145001010"," 278.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",53,24,29,22
3594,"25201","145001020"," 278.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",41,19,22,22
3595,"25201","145001030"," 278.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",-,-,-,-
3596,"25201","145001040"," 265.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",40,24,16,30
3597,"25201","145001050"," 265.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",39,19,20,14
3598,"25201","145001060"," 265.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",19,8,11,8
3599,"25201","145001070"," 263.1. 4","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",-,-,-,-
3600,"25201","145001080"," 263.1. 5","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",27,13,14,9
3601,"25201","145001090"," 264.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",38,19,19,17
3602,"25201","145001100"," 264.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",68,32,36,30
3603,"25201","145001110"," 250.1.  ","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",112,54,58,51
3604,"25201","145001120"," 252.1.  ","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",55,24,31,29
3605,"25201","145001120"," 279.1.  ","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",30,26,4,28
3606,"25201","145001130"," 251.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",38,18,20,18
3607,"25201","145001140"," 251.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",20,9,11,9
3608,"25201","145001150"," 251.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚P’š–Ú","52",50,20,30,26
3609,"25201","145002010"," 267.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",-,-,-,-
3610,"25201","145002020"," 267.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",41,19,22,11
3611,"25201","145002030"," 267.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",37,17,20,9
3612,"25201","145002040"," 267.1. 4","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",6,4,2,1
3613,"25201","145002050"," 267.1. 5","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",55,30,25,17
3614,"25201","145002060"," 267.1. 6","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",16,8,8,6
3615,"25201","145002070"," 267.1. 7","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",11,7,4,7
3616,"25201","145002080"," 262.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",15,6,9,8
3617,"25201","145002090"," 262.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",50,25,25,18
3618,"25201","145002100"," 262.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",35,14,21,20
3619,"25201","145002110"," 266.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",-,-,-,-
3620,"25201","145002120"," 266.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",-,-,-,-
3621,"25201","145002130"," 266.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",51,24,27,25
3622,"25201","145002140"," 262.1. 4","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",5,2,3,3
3623,"25201","145002150"," 266.1. 4","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",30,14,16,10
3624,"25201","145002160"," 266.1. 5","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",17,7,10,8
3625,"25201","145002170"," 266.1. 6","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",12,5,7,4
3626,"25201","145002180"," 263.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",49,21,28,23
3627,"25201","145002190"," 263.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",20,11,9,9
3628,"25201","145002200"," 263.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",9,5,4,1
3629,"25201","145002210"," 283.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",15,7,8,5
3630,"25201","145002220"," 283.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",70,28,42,32
3631,"25201","145002230"," 283.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",6,4,2,4
3632,"25201","145002240"," 253.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",50,30,20,37
3633,"25201","145002250"," 255.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",67,38,29,36
3634,"25201","145002260"," 254.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",28,15,13,11
3635,"25201","145002270"," 254.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",29,16,13,12
3636,"25201","145002280"," 254.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",33,16,17,14
3637,"25201","145002290"," 254.1. 4","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",27,15,12,13
3638,"25201","145002300"," 253.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰¡–Ø","‚Q’š–Ú","52",29,11,18,14
3639,"25201","147000010","  13.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",2,1,1,1
3640,"25201","147000020","  17.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",15,8,7,7
3641,"25201","147000030","  17.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",55,19,36,24
3642,"25201","147000040","  17.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",31,18,13,11
3643,"25201","147000050","  16.1. 4","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",-,-,-,-
3644,"25201","147000060","  18.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",43,22,21,20
3645,"25201","147000070","  18.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",11,6,5,5
3646,"25201","147000080","  16.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",19,7,12,11
3647,"25201","147000090","  16.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",13,4,9,5
3648,"25201","147000100","  12.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",26,16,10,13
3649,"25201","147000110","  15.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",59,25,34,24
3650,"25201","147000120","  16.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",72,32,40,57
3651,"25201","147000130","  18.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",51,26,25,29
3652,"25201","147000140","  13.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",24,12,12,8
3653,"25201","147000150","  13.1. 4","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",7,3,4,4
3654,"25201","147000160","  13.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",60,27,33,26
3655,"25201","147000170","  14.1. 1","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",15,6,9,6
3656,"25201","147000180","  14.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",73,36,37,29
3657,"25201","147000190","  14.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",-,-,-,-
3658,"25201","147000200","  15.1. 3","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","01",24,12,12,15
3659,"25201","147000210","  15.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‘å–å’Ê","","",1,1,-,1
3660,"25201","148000980","  19.2. 1","Ž ‰êŒ§","‘å’ÃŽs","‰€éŽ›’¬","","",-,-,-,-
3661,"25201","148000990","  12.1. 2","Ž ‰êŒ§","‘å’ÃŽs","‰€éŽ›’¬","","",30,14,16,15
3662,"25201","149000010","   8.1. 5","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",9,6,3,4
3663,"25201","149000020","   7.1.  ","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",121,64,57,52
3664,"25201","149000030","   8.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",8,4,4,4
3665,"25201","149000040","   2.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",22,13,9,11
3666,"25201","149000050","   4.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",93,45,48,42
3667,"25201","149000060","   3.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",6,5,1,6
3668,"25201","149000070","   3.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",87,45,42,34
3669,"25201","149000080","   2.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",14,7,7,8
3670,"25201","149000090","   2.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",38,18,20,14
3671,"25201","149000100","   8.1. 4","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",13,6,7,8
3672,"25201","149000110","   9.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",36,24,12,30
3673,"25201","149000120","   8.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",79,39,40,31
3674,"25201","149000130","   9.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",52,27,25,24
3675,"25201","149000140","   9.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",24,11,13,9
3676,"25201","149000150","   8.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",3,2,1,3
3677,"25201","149000160","   2.1. 4","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",32,17,15,13
3678,"25201","149000170","   3.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","01",-,-,-,-
3679,"25201","149000180","   1.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","",10,6,4,4
3680,"25201","149000190","   1.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","",-,-,-,-
3681,"25201","149000200","   1.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","",138,72,66,49
3682,"25201","149000200","  10.1.  ","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","",115,62,53,38
3683,"25201","149000950"," 330.1. 9","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","",-,-,-,-
3684,"25201","149000960"," 291.1.11","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","",-,-,-,-
3685,"25201","149000970","  19.2. 2","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","",-,-,-,-
3686,"25201","149000980","  20.3.  ","Ž ‰êŒ§","‘å’ÃŽs","ŽRã’¬","","",-,-,-,-
3687,"25201","150000010","  41.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",-,-,-,-
3688,"25201","150000020","  41.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",14,6,8,9
3689,"25201","150000030","  41.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",10,5,5,6
3690,"25201","150000040","  41.1. 4","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",-,-,-,-
3691,"25201","150000050","  41.1. 5","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",8,3,5,3
3692,"25201","150000060","  41.1. 6","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",27,11,16,13
3693,"25201","150000070","  41.1. 7","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",22,9,13,8
3694,"25201","150000080","  40.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",35,15,20,11
3695,"25201","150000090","  42.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",29,14,15,13
3696,"25201","150000100","  40.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",34,17,17,16
3697,"25201","150000110","  40.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",26,12,14,10
3698,"25201","150000120","  42.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",61,28,33,29
3699,"25201","150000130","  36.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",50,23,27,25
3700,"25201","150000140","  35.1. 1","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",23,11,12,9
3701,"25201","150000150","  35.1. 8","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",52,27,25,21
3702,"25201","150000160","  35.1. 7","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",17,9,8,6
3703,"25201","150000170","  35.1. 2","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",25,13,12,10
3704,"25201","150000180","  35.1. 3","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",-,-,-,-
3705,"25201","150000190","  35.1. 4","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",5,1,4,1
3706,"25201","150000200","  35.1. 5","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",-,-,-,-
3707,"25201","150000210","  35.1. 6","Ž ‰êŒ§","‘å’ÃŽs","ŠÏ‰¹Ž›","","01",-,-,-,-
3708,"25201","151000010","  31.1. 5","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",-,-,-,-
3709,"25201","151000020","  34.1. 1","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",26,10,16,10
3710,"25201","151000030","  34.1. 2","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",17,10,7,8
3711,"25201","151000040","  34.1. 3","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",21,11,10,9
3712,"25201","151000050","  31.1. 6","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",-,-,-,-
3713,"25201","151000060","  33.1. 3","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",52,30,22,28
3714,"25201","151000070","  31.1. 1","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",24,13,11,9
3715,"25201","151000080","  31.1. 2","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",24,10,14,12
3716,"25201","151000090","  31.1. 3","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",31,13,18,17
3717,"25201","151000100","  31.1. 4","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",3,-,3,2
3718,"25201","151000110","  28.1. 1","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",156,77,79,65
3719,"25201","151000110","  29.1.  ","Ž ‰êŒ§","‘å’ÃŽs","”ö‰Ôì","","01",128,61,67,44
